Delta,Theta,Alpha,Beta,Gamma,class
0.358370052,0.240794814,0.188550867,0.14032299,0.071961277,Idle
0.267620143,0.381560036,0.24761037,0.088020797,0.015188654,Idle
0.211803037,0.307704624,0.304200335,0.107297023,0.06899498,Idle
0.160811012,0.242146475,0.561227086,0.018441016,0.017374412,Idle
0.184220305,0.346103338,0.297207413,0.14813433,0.024334613,Idle
0.284679965,0.343154118,0.167465399,0.165370114,0.039330403,Idle
0.138251492,0.210096693,0.376798517,0.16496848,0.109884818,Idle
0.247271658,0.268787896,0.268677718,0.063405067,0.151857661,Idle
0.197828987,0.24037935,0.226214813,0.195576733,0.140000116,Idle
0.301807698,0.274360715,0.293304373,0.093102921,0.037424293,Idle
0.226353277,0.407120983,0.265241188,0.059517536,0.041767015,Idle
0.31428097,0.28139603,0.319901684,0.067193113,0.017228204,Idle
0.184105533,0.237548816,0.380609153,0.190444211,0.007292288,Idle
0.348290803,0.413271257,0.168425998,0.057673242,0.012338701,Idle
0.197795753,0.382496996,0.207282844,0.158283684,0.054140722,Active
0.267620143,0.381560036,0.24761037,0.088020797,0.015188654,Active
0.104079772,0.187435188,0.310013165,0.32491871,0.073553165,Active
0.058276167,0.223957143,0.347008307,0.306490572,0.064267812,Active
0.144064306,0.30993341,0.299670876,0.209183389,0.03714802,Active
0.276661923,0.413578555,0.170894348,0.093785705,0.045079469,Active
0.044292858,0.158418716,0.298275242,0.32524539,0.173767794,Active
0.135896905,0.28114448,0.290448332,0.194900197,0.097610086,Active
0.088556102,0.284872765,0.322554116,0.2166004,0.087416616,Active
0.140137017,0.263374627,0.278789613,0.25244397,0.065254771,Active
0.090694526,0.198653534,0.318077862,0.321797417,0.070776662,Active
0.096142473,0.369575639,0.328414734,0.161443403,0.044423751,Active
0.116195829,0.228639999,0.322631519,0.310958059,0.021574593,Active
0.140804343,0.27561825,0.349073056,0.186783131,0.047721219,Active
